# key | rank | definition   (ranks 1-2 are one-word glosses; 3+ broaden out)
# Source: ls_N.json (Lewis & Short via Perseus), simplified for learners.
ne1 | 5 | do not (in prohibitions, + subj. or imper.)
ne2 | 1 | question-marker
ne2 | 3 | whether (in indirect questions)
ne3 | 1 | indeed
nebula | 1 | mist
nebula | 3 | thin fabric, transparent cloth (transf., of a garment or a metal sheet)
nebula | 4 | obscurity, vagueness (trop., of confusion or uncertainty)
nebulo | 1 | scoundrel
nebulosus | 1 | misty
nebulosus | 3 | obscure, hard to understand (trop.)
necessarius | 1 | necessary
necessarius | 2 | related
necessarius | 3 | a relative, kinsman, close connection (subst., of blood, friendship, or clientship)
necesse | 1 | necessary
necessitas | 1 | necessity
necessitas | 3 | fate, destiny (transf., a law of nature)
necessitas | 4 | necessities, essentials (concr., plur., necessary things or expenses)
necessitas | 5 | relationship, connection (for necessitudo, rare)
necessitudo | 1 | necessity
necessitudo | 3 | close connection, relationship, friendship (transf.)
necessitudo | 4 | relatives, connections (concr., plur., post-Aug.)
necne | 1 | or not
necnon | 1 | and also
neco | 1 | kill
neco | 3 | thwart, check (trop., a natural inclination)
neco | 4 | bore to death, pester (trop., colloquial, of talking someone to death)
necopinans | 1 | unaware
necopinatus | 1 | unexpected
necopinus | 1 | unexpected
necopinus | 3 | unsuspecting, off guard (act., of the one caught unaware)
nectareus | 1 | nectarous
nectareus | 3 | delicious, sweet (transf., as sweet as nectar)
necto | 1 | bind
necto | 3 | fetter, enslave (in partic., for debt)
necto | 4 | attach, link (trop., of causes or ideas)
necto | 5 | bind, oblige (trop., by an obligation)
necubi | 1 | nowhere
nedum | 1 | much less
nedum | 3 | much more, not to say (transf., post-Aug., in affirmative statements)
nefandus | 1 | unspeakable
nefarius | 1 | wicked
nefarius | 3 | a heinous act, a crime (subst. neut. nefarium)
nefas | 1 | sin
nefas | 3 | a monstrous horror (poet., transf.)
nefas | 4 | impossible (transf., of what cannot be corrected or done)
nefastus | 1 | unlawful
nefastus | 3 | impious, profane (transf., contrary to religion)
nefastus | 4 | unlucky, inauspicious (transf., of a day)
nefastus | 5 | harmful, injurious (rare)
nefrens | 1 | toothless
negativus | 1 | negative
negito | 1 | deny
negito | 3 | persist in denying, deny repeatedly (freq., a stronger emphasis than nego)
neglegentia | 1 | negligence
neglego | 1 | neglect
neglego | 3 | disregard, despise (in partic., to slight or scorn)
nego | 1 | deny
nego | 2 | refuse
nego | 3 | decline (an invitation, in partic.)
nego | 4 | yield nothing, fail to produce (transf., poet., of infertile land or an unfavourable wind)
nego | 5 | disown, deny knowing (eccl. Lat., + acc. of a person)
negotialis | 1 | business
negotiatio | 1 | commerce
negotiator | 1 | dealer
negotiator | 3 | agent, factor (in partic., one entrusted with managing a business)
negotior | 1 | trade
negotior | 3 | engage in business, deal (transf. or trop., in gen.)
negotiosus | 1 | busy
negotiosus | 3 | troublesome (transf.)
negotium | 1 | business
negotium | 3 | trouble, difficulty (transf.)
negotium | 4 | matter, thing (transf., like Gr. pragma, for res)
nemo | 1 | nobody
nemo | 3 | no, not any (adj., = nullus, transf.)
nemorensis | 1 | woodland
nemorosus | 1 | wooded
nemorosus | 3 | leafy, shady (transf., full of foliage)
nempe | 1 | certainly
nempe | 3 | you mean (in questions, asking for confirmation of another's meaning)
nenia | 1 | dirge
nenia | 3 | incantation, magic song (in partic.)
nenia | 4 | lullaby, nursery song (in partic.)
neo1 | 1 | spin
neo1 | 3 | weave, entwine (transf.)
nepos1 | 1 | grandson
nepos1 | 3 | nephew (transf., a brother's or sister's son, post-Aug.)
nepos1 | 4 | descendant (poet., in gen.)
nepos1 | 5 | spendthrift, prodigal (fig.)
neptis | 1 | granddaughter
nequam | 1 | worthless
nequaquam | 1 | nowise
neque | 1 | nor
neque | 3 | not even (in partic., = ne...quidem)
neque | 4 | neither...nor (in the correlative neque...neque construction)
nequeo | 1 | be unable
nequiquam | 1 | vainly
nequitia | 1 | worthlessness
nequitia | 3 | idleness, negligence (in partic.)
nequitia | 4 | prodigality, extravagance (in partic.)
nequitia | 5 | wantonness, lewdness (in partic.)
nervosus | 1 | sinewy
nervosus | 3 | vigorous, forceful (trop., of style or expression)
nervus | 1 | sinew
nervus | 3 | string (transf., of a musical instrument)
nervus | 4 | bowstring (transf.)
nervus | 5 | fetter, shackle (transf., a restraint for the feet)
nervus | 6 | prison (transf., in partic.)
nervus | 7 | vigour, strength, force (trop.)
nervus | 8 | energy, force of style (trop., in partic., of oratory)
nescio | 1 | not know
nescio | 3 | be unable, not know how (in partic., + inf.)
nescius | 1 | unaware
neuter | 1 | neither
neuter | 3 | neuter (gram., of gender)
neutiquam | 1 | nowise
neve | 1 | nor
nex | 1 | murder
nex | 3 | death (in gen., a natural death, rare and post-Aug.)
nex | 4 | destruction, ruin (jurid. Lat., transf.)
nexo | 1 | bind
nexus2 | 1 | binding
nexus2 | 3 | bondage, debt-slavery (transf., a legal obligation for debt)
nexus2 | 4 | obligation, restraint (trop., in gen.)
ni | 1 | unless
ni | 3 | not (arch., a simple negative particle, only in fixed phrases like quidni, why not)
ni | 4 | that not, lest (conj., ante-class. and poet., in purpose clauses)
nicto | 1 | blink
nicto | 3 | wink (in partic., to signal with the eyes)
nicto | 4 | flash, flicker (transf., of fire)
nicto | 5 | strain, exert oneself (trop.)
nidor | 1 | smell
nidulor | 1 | nest
nidulor | 3 | make a nest for another (act., rare)
nidulus | 1 | nest
nidulus | 3 | retreat, nook (trop., a place of retirement)
nidus | 1 | nest
nidus | 3 | nestlings, brood (transf., poet., young birds in a nest)
nidus | 4 | litter (transf., poet., of pigs)
nidus | 5 | case, receptacle (transf., for books or valuables)
nidus | 6 | home, dwelling (transf.)
nidus | 7 | bowl, goblet (transf., a nest-shaped vessel)
niger1 | 1 | black
niger1 | 3 | deathly, funereal (trop., associated with death or mourning)
niger1 | 4 | unlucky, ill-omened (trop.)
niger1 | 5 | wicked, evil (trop., of character)
nigresco | 1 | darken
nigrico | 1 | be blackish
nigro | 1 | blacken
nigro | 3 | be black (neutr., lit.)
nigro | 4 | darken (trop., to obscure)
nihil | 1 | nothing
nihil | 3 | not at all (adv., a strengthened negative, in no respect)
nihil | 4 | in vain, to no purpose (adv., rare)
nihil | 5 | worthless (as gen. of value, nihili)
nimbus | 1 | rainstorm
nimbus | 3 | thundercloud (transf.)
nimbus | 4 | halo, radiant cloud (transf., surrounding a god's head)
nimbus | 5 | cloud of dust or smoke (transf.)
nimbus | 6 | headband, frontlet (rare, worn by women)
nimbus | 7 | multitude, host (transf., of things spreading out like a cloud, e.g. a mass of spears)
nimbus | 8 | disaster, misfortune (trop., a sudden storm of trouble)
nimirum | 1 | doubtless
nimis | 1 | excessively
nimius | 1 | excessive
nimius | 3 | too great, too powerful (in partic., post-Aug., of political power)
nimius | 4 | very great, very much (transf., great beyond measure)
ningit | 1 | it snows
ningit | 3 | shower down, scatter (transf., of things falling like snow)
nisi | 1 | unless
nisi | 3 | except, only (after a negative or interrogative clause)
nisi | 4 | but, than (after nihil or nihil aliud)
nisus2 | 1 | effort
nisus2 | 3 | pressure (lit., a pressing or resting against something)
nitedula | 1 | dormouse
nitela1 | 1 | brightness
nitela1 | 3 | polish (transf., that which causes shine, e.g. tooth-powder)
niteo | 1 | shine
niteo | 3 | be sleek, be in good condition (transf., of animals)
niteo | 4 | look beautiful, be radiant (transf., of persons)
niteo | 5 | flourish, thrive (transf., of fields, plants, or wealth)
niteo | 6 | be brilliant, be elegant (trop., of speech or style)
nitesco | 1 | brighten
nitesco | 3 | grow sleek, thrive (transf., of animals or plants)
nitesco | 4 | become illustrious, be cultivated (trop.)
nitido | 1 | polish
nitido | 3 | wash, bathe (in partic.)
nitidus | 1 | shining
nitidus | 3 | sleek, plump (transf., of animals)
nitidus | 4 | healthy-looking, well-groomed (transf., of persons)
nitidus | 5 | handsome, elegant, neat (transf.)
nitidus | 6 | luxuriant, blooming (transf., of fields or plants)
nitidus | 7 | polished, refined (trop., of style)
nitor1 | 1 | lean
nitor1 | 2 | strive
nitor1 | 3 | press forward, climb (transf., to advance with effort)
nitor1 | 4 | labour in childbirth (transf., to strain, give birth)
nitor1 | 5 | rely, depend upon (trop., + abl. or in + abl.)
nitor1 | 6 | argue, contend (trop., to try to prove a point)
nitor2 | 1 | brightness
nitor2 | 3 | good looks, comeliness (transf., of the body)
nitor2 | 4 | elegance, refinement (transf., of external appearance)
nitor2 | 5 | polish, elegance (trop., of speech or style)
nitor2 | 6 | excellence, distinction (trop., of character or lineage)
nivalis | 1 | snowy
nivalis | 3 | cold, wintry (transf., of a day)
nivarius | 1 | snow
niveus | 1 | snowy
niveus | 3 | snow-white (transf., of colour)
nix | 1 | snow
nix | 3 | whiteness (transf., poet., of hair or ivory)
nixor | 1 | lean
nixor | 3 | depend, rely upon (trop.)
nixus2 | 1 | pressure
nixus2 | 3 | effort, exertion (transf.)
nixus2 | 4 | labour pains, throes of childbirth (in partic.)
